verb,voice,verb renamed,communicative,pure,discourse participation,state changing,private,emotive,cognitive,stative,telic,activity,evidential ,unclear classification,unclear usage,unclear sub-classification
reckon,active,reckon,,,,,yes,,yes,yes,,,,,,
recognize,active,recognize,,,,,yes,,yes,,yes,,,,,
recollect,active,recollect,,,,,yes,,yes,yes,,,,,,
reconsider,active,reconsider,,,,,yes,,yes,,yes,,,,,
record,active,record,yes,yes,,,,,,,,,,,,
rediscover,active,rediscover,,,,,yes,,yes,,yes,,,,,
regret,active,regret,,,,,yes,yes,,,,,,,,
reiterate,active,reiterate,yes,,yes,,,,,,,,,,,
reject,active,reject,yes,,yes,,,,,,,,,,,
relate,active,relate,yes,,yes,,,,,,,,,,,
relieve,passive,be relieved,,,,,yes,yes,,,,,,,,
relish,active,relish,,,,,yes,yes,,,,,,,,
remark,active,remark,yes,yes,,,,,,,,,,,,
remember,active,remember,,,,,yes,,yes,yes,,,,,,
remind,passive,be reminded,,,,,yes,,,,,,yes,,,
reminisce,active,reminisce,,,,,yes,,yes,,,yes,,,,
repeat,active,repeat,yes,yes,,,,,,,,,,,,
reply,active,reply,yes,,yes,,,,,,,,,,,
report,active,report,yes,,yes,,,,,,,,,,,
repress,active,repress,,,,,yes,,yes,yes,,,,,,
request,active,request,yes,,yes,,,,,,,,,,,
require,active,require,,,,,yes,,yes,yes,,,,,,
research,active,research,,,,,yes,,yes,,yes,,,,,
resent,active,resent,,,,,yes,yes,,,,,,,,
resolve,active,resolve,,,,,yes,,yes,,yes,,,,,
respond,active,respond,yes,,yes,,,,,,,,,,,
restate,active,restate,yes,yes,,,,,,,,,,,,
retort,active,retort,yes,,yes,,,,,,,,,,,
retract,active,retract,yes,,yes,,,,,,,,,,,
reveal,active,reveal,yes,,yes,,,,,,,,,,,
revolt,passive,be revolted,,,,,yes,yes,,,,,,,,
rouse,passive,be roused,,,,,yes,yes,,,,,,,,
rule,active,rule,yes,,yes,,,,,,,,,,,
ruminate,active,ruminate,,,,,yes,,yes,,,yes,,,,
sadden,passive,be saddened,,,,,yes,yes,,,,,,,,
satisfy,passive,be satisfied,,,,,yes,yes,,,,,,,,
say,active,say,yes,yes,,,,,,,,,,,,
scare,passive,be scared,,,,,yes,yes,,,,,,,,
scoff,active,scoff,yes,yes,,,,,,,,,,,,
scream,active,scream,yes,yes,,,,,,,,,,,,
scribble,active,scribble,yes,yes,,,,,,,,,,,,
see,active,see,,,,,yes,,,,,,yes,,,
select,active,select,,,,,yes,,yes,,yes,,,,,
shame,passive,be shamed,,,,,,,,,,,,yes,,
share,active,share,yes,,yes,,,,,,,,,,,
shock,passive,be shocked,,,,,yes,yes,,,,,,,,
shout,active,shout,yes,yes,,,,,,,,,,,,
show,active,show,yes,,yes,,,,,,,,,,,
show,passive,be shown,,,,,yes,,,,,,yes,,,
showcase,active,showcase,yes,,,yes,,,,,,,,,,
shriek,active,shriek,yes,yes,,,,,,,,,,,,
sicken,passive,be sickened,,,,,yes,yes,,,,,,,,
sigh,active,sigh,yes,yes,,,,,,,,,,,,
signal,active,signal,yes,,yes,,,,,,,,,,,
signal,passive,be signalled,,,,,yes,,,,,,yes,,,
signify,active,signify,yes,,yes,,,,,,,,,,,
simulate,active,simulate,yes,,,yes,,,,,,,,,,
sing,active,sing,yes,yes,,,,,,,,,,,,
sketch,active,sketch,yes,yes,,,,,,,,,,,,
snap,active,snap,yes,yes,,,,,,,,,,,,
snitch,active,snitch,yes,,yes,,,,,,,,,,,
sob,active,sob,yes,yes,,,,,,,,,,,,
specify,active,specify,yes,,yes,,,,,,,,,,,
spellbind,passive,be spellbound,,,,,yes,yes,,,,,,,,
spook,passive,be spooked,,,,,yes,yes,,,,,,,,
spot,active,spot,,,,,yes,,,,,,yes,,,
spout,active,spout,yes,yes,,,,,,,,,,,,
squeal,active,squeal,yes,yes,,,,,,,,,,,,
stammer,active,stammer,yes,yes,,,,,,,,,,,,
